X,Y,POINT_X,POINT_Y,ID2,Elevation,Analytical Hillshading,Convergence Index,Total Catchment Area,Topographic Wetness Index,LS-Factor,Channel Network Base Level,Channel Network Distance,Valley Depth,Relative Slope Position,Slope,Aspect,TRASP,Profile Curvature,Plan Curvature,Tangential Curvature,Total Insolation,Cookwest cells clusterID 20191125
493361.5256,5180928.922,493361.5256,5180928.922,511,784.13347,0.862672,11.111972,178.449982,4.837599,0.58326,779.413818,4.719666,10.47937,0.310524,4.736475,156.61322,0.798205048,0.002092,0.051245,0.004231,1812.89209,3
492950.4014,5180972.06,492950.4014,5180972.06,512,812.67431,0.979853,8.504633,227.780121,4.060733,2.243096,779.78833,32.885986,0,1,12.951845,101.377037,0.340330435,0.006554,0.01245,0.002791,1747.530518,2
492963.0602,5180946.713,492963.0602,5180946.713,513,809.47769,0.944763,3.440506,220.936462,4.113739,1.529112,779.714233,29.763428,0,1,9.940653,109.915947,0.412453648,0.005935,0.055667,0.00961,1778.495117,2
493011.8001,5180951.703,493011.8001,5180951.703,514,795.63173,0.977783,0.26069,1099.035767,5.62234,3.119501,780.072693,15.559021,7.211548,0.683295,13.105531,99.070183,0.321387942,-0.002869,-0.028838,-0.006539,1734.663208,2
493042.6085,5180971.491,493042.6085,5180971.491,515,792.58332,0.904494,2.373143,708.553345,6.078609,1.295896,780.499817,12.083496,8.589478,0.584507,6.839784,139.15007,0.664021776,-0.000151,-0.025926,-0.003088,1820.924805,3
493060.3402,5180950.15,493060.3402,5180950.15,516,788.91537,0.933869,-0.335537,848.097778,5.737886,1.852511,780.562439,8.352905,11.064209,0.430183,9.09305,157.163193,0.802043648,-0.000356,0.002431,0.000384,1873.387329,3
493088.7635,5180949.424,493088.7635,5180949.424,517,785.6221,0.903669,-8.819167,833.730713,5.92574,1.422173,780.721008,4.901062,13.022461,0.273443,7.429029,160.616928,0.825499258,-0.002303,-0.013213,-0.001708,1854.357422,3
493120.1183,5180944.186,493120.1184,5180944.186,518,785.70852,0.819882,0.043936,683.471802,5.867806,1.608562,780.887573,4.820923,12.010986,0.286416,8.129993,214.809082,0.998239791,-0.003098,-0.033131,-0.004685,1845.353027,3
493155.2814,5180956.642,493155.2815,5180956.642,519,789.08824,0.852329,0.605276,149.235687,4.283517,0.499111,781.074219,8.014038,7.993835,0.500631,4.596162,169.671402,0.881172702,0.001187,0.090318,0.007237,1816.794067,3
493192.5125,5180965.57,493192.5125,5180965.57,520,789.44632,0.745609,-0.04515,101.811539,4.381996,0.189942,780.969666,8.476685,6.903809,0.551132,2.381164,331.426666,0.239296587,0.008621,0.261125,0.010849,1694.092285,4
